dt;weekday;holiday
2014-04-21;monday;Tiradentes
2014-05-01;thursday;Dia do Trabalho
2014-06-19;thursday;Corpus Christi
2014-09-07;sunday;Independência do Brasil
2014-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2014-11-02;sunday;Finados
2014-11-15;saturday;Proclamação da República
2014-12-25;thursday;Natal
2015-01-01;thursday;Confraternização Universal
2015-02-16;monday;Carnaval
2015-02-17;tuesday;Carnaval
2015-04-03;friday;Paixão de Cristo
2015-04-21;tuesday;Tiradentes
2015-05-01;friday;Dia do Trabalho
2015-06-04;thursday;Corpus Christi
2015-09-07;monday;Independência do Brasil
2015-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2015-11-02;monday;Finados
2015-11-15;sunday;Proclamação da República
2015-12-25;friday;Natal
2016-01-01;friday;Confraternização Universal
2016-02-08;monday;Carnaval
2016-02-09;tuesday;Carnaval
2016-03-25;friday;Paixão de Cristo
2016-04-21;thursday;Tiradentes
2016-05-01;sunday;Dia do Trabalho
2016-05-26;thursday;Corpus Christi
2016-09-07;wednesday;Independência do Brasil
2016-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2016-11-02;wednesday;Finados
2016-11-15;tuesday;Proclamação da República
2016-12-25;sunday;Natal
2017-01-01;sunday;Confraternização Universal
2017-02-27;monday;Carnaval
2017-02-28;tuesday;Carnaval
2017-04-14;friday;Paixão de Cristo
2017-04-21;friday;Tiradentes
2017-05-01;monday;Dia do Trabalho
2017-06-15;thursday;Corpus Christi
2017-09-07;thursday;Independência do Brasil
2017-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2017-11-02;thursday;Finados
2017-11-15;wednesday;Proclamação da República
2017-12-25;monday;Natal
2018-01-01;monday;Confraternização Universal
2018-02-12;monday;Carnaval
2018-02-13;tuesday;Carnaval
2018-03-30;friday;Paixão de Cristo
2018-04-21;saturday;Tiradentes
2018-05-01;tuesday;Dia do Trabalho
2018-05-31;thursday;Corpus Christi
2018-09-07;friday;Independência do Brasil
2018-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2018-11-02;friday;Finados
2018-11-15;thursday;Proclamação da República
2018-12-25;tuesday;Natal
2019-01-01;tuesday;Confraternização Universal
2019-03-04;monday;Carnaval
2019-03-05;tuesday;Carnaval
2019-04-19;friday;Paixão de Cristo
2019-04-21;sunday;Tiradentes
2019-05-01;wednesday;Dia do Trabalho
2019-06-20;thursday;Corpus Christi
2019-09-07;saturday;Independência do Brasil
2019-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2019-11-02;saturday;Finados
2019-11-15;friday;Proclamação da República
2019-12-25;wednesday;Natal
2020-01-01;wednesday;Confraternização Universal
2020-02-24;monday;Carnaval
2020-02-25;tuesday;Carnaval
2020-04-10;friday;Paixão de Cristo
2020-04-21;tuesday;Tiradentes
2020-05-01;friday;Dia do Trabalho
2020-06-11;thursday;Corpus Christi
2020-09-07;monday;Independência do Brasil
2020-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2020-11-02;monday;Finados
2020-11-15;sunday;Proclamação da República
2020-12-25;friday;Natal
2021-01-01;friday;Confraternização Universal
2021-02-15;monday;Carnaval
2021-02-16;tuesday;Carnaval
2021-04-02;friday;Paixão de Cristo
2021-04-21;wednesday;Tiradentes
2021-05-01;saturday;Dia do Trabalho
2021-06-03;thursday;Corpus Christi
2021-09-07;tuesday;Independência do Brasil
2021-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2021-11-02;tuesday;Finados
2021-11-15;monday;Proclamação da República
2021-12-25;saturday;Natal
2022-01-01;saturday;Confraternização Universal
2022-02-28;monday;Carnaval
2022-03-01;tuesday;Carnaval
2022-04-15;friday;Paixão de Cristo
2022-04-21;thursday;Tiradentes
2022-05-01;sunday;Dia do Trabalho
2022-06-16;thursday;Corpus Christi
2022-09-07;wednesday;Independência do Brasil
2022-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2022-11-02;wednesday;Finados
2022-11-15;tuesday;Proclamação da República
2022-12-25;sunday;Natal
2023-01-01;sunday;Confraternização Universal
2023-02-20;monday;Carnaval
2023-02-21;tuesday;Carnaval
