dt;dia_semana;feriado
1397779200;sexta-feira;Paixão de Cristo
1398038400;segunda-feira;Tiradentes
1398902400;quinta-feira;Dia do Trabalho
1403136000;quinta-feira;Corpus Christi
1410048000;domingo;Independência do Brasil
1413072000;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
1414886400;domingo;Finados
1416009600;sábado;Proclamação da República
1419465600;quinta-feira;Natal
1420070400;quinta-feira;Confraternização Universal
1424044800;segunda-feira;Carnaval
1424131200;terça-feira;Carnaval
1428019200;sexta-feira;Paixão de Cristo
1429574400;terça-feira;Tiradentes
1430438400;sexta-feira;Dia do Trabalho
1433376000;quinta-feira;Corpus Christi
1441584000;segunda-feira;Independência do Brasil
1444608000;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1446422400;segunda-feira;Finados
1447545600;domingo;Proclamação da República
1451001600;sexta-feira;Natal
1451606400;sexta-feira;Confraternização Universal
1454889600;segunda-feira;Carnaval
1454976000;terça-feira;Carnaval
1458864000;sexta-feira;Paixão de Cristo
1461196800;quinta-feira;Tiradentes
1462060800;domingo;Dia do Trabalho
1464220800;quinta-feira;Corpus Christi
1473206400;quarta-feira;Independência do Brasil
1476230400;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1478044800;quarta-feira;Finados
1479168000;terça-feira;Proclamação da República
1482624000;domingo;Natal
1483228800;domingo;Confraternização Universal
1488153600;segunda-feira;Carnaval
1488240000;terça-feira;Carnaval
1492128000;sexta-feira;Paixão de Cristo
1492732800;sexta-feira;Tiradentes
1493596800;segunda-feira;Dia do Trabalho
1497484800;quinta-feira;Corpus Christi
1504742400;quinta-feira;Independência do Brasil
1507766400;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1509580800;quinta-feira;Finados
1510704000;quarta-feira;Proclamação da República
1514160000;segunda-feira;Natal
1514764800;segunda-feira;Confraternização Universal
1518393600;segunda-feira;Carnaval
1518480000;terça-feira;Carnaval
1522368000;sexta-feira;Paixão de Cristo
1524268800;sábado;Tiradentes
1525132800;terça-feira;Dia do Trabalho
1527724800;quinta-feira;Corpus Christi
1536278400;sexta-feira;Independência do Brasil
1539302400;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1541116800;sexta-feira;Finados
1542240000;quinta-feira;Proclamação da República
1545696000;terça-feira;Natal
1546300800;terça-feira;Confraternização Universal
1551657600;segunda-feira;Carnaval
1551744000;terça-feira;Carnaval
1555632000;sexta-feira;Paixão de Cristo
1555804800;domingo;Tiradentes
1556668800;quarta-feira;Dia do Trabalho
1560988800;quinta-feira;Corpus Christi
1567814400;sábado;Independência do Brasil
1570838400;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
1572652800;sábado;Finados
1573776000;sexta-feira;Proclamação da República
1577232000;quarta-feira;Natal
1577836800;quarta-feira;Confraternização Universal
1582502400;segunda-feira;Carnaval
1582588800;terça-feira;Carnaval
1586476800;sexta-feira;Paixão de Cristo
1587427200;terça-feira;Tiradentes
1588291200;sexta-feira;Dia do Trabalho
1591833600;quinta-feira;Corpus Christi
1599436800;segunda-feira;Independência do Brasil
1602460800;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1604275200;segunda-feira;Finados
1605398400;domingo;Proclamação da República
1608854400;sexta-feira;Natal
1609459200;sexta-feira;Confraternização Universal
1613347200;segunda-feira;Carnaval
1613433600;terça-feira;Carnaval
1617321600;sexta-feira;Paixão de Cristo
1618963200;quarta-feira;Tiradentes
1619827200;sábado;Dia do Trabalho
1622678400;quinta-feira;Corpus Christi
1630972800;terça-feira;Independência do Brasil
1633996800;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1635811200;terça-feira;Finados
1636934400;segunda-feira;Proclamação da República
1640390400;sábado;Natal
1640995200;sábado;Confraternização Universal
1646006400;segunda-feira;Carnaval
1646092800;terça-feira;Carnaval
1649980800;sexta-feira;Paixão de Cristo
1650499200;quinta-feira;Tiradentes
1651363200;domingo;Dia do Trabalho
1655337600;quinta-feira;Corpus Christi
1662508800;quarta-feira;Independência do Brasil
1665532800;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1667347200;quarta-feira;Finados
1668470400;terça-feira;Proclamação da República
1671926400;domingo;Natal
1672531200;domingo;Confraternização Universal
1676851200;segunda-feira;Carnaval
1676937600;terça-feira;Carnaval
1680825600;sexta-feira;Paixão de Cristo
1682035200;sexta-feira;Tiradentes
1682899200;segunda-feira;Dia do Trabalho
1686182400;quinta-feira;Corpus Christi
1694044800;quinta-feira;Independência do Brasil
1697068800;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1698883200;quinta-feira;Finados
1700006400;quarta-feira;Proclamação da República
1703462400;segunda-feira;Natal
1704067200;segunda-feira;Confraternização Universal
1707696000;segunda-feira;Carnaval
1707782400;terça-feira;Carnaval
1711670400;sexta-feira;Paixão de Cristo
